RRR,color
NO1,#077b8a
NO2,#077b8a
NO3,#077b8a
NO4,#077b8a
NO5,#077b8a
DK1,#077b8a
DK2,#077b8a
FIN,#077b8a
SE1,#077b8a
SE2,#077b8a
SE3,#077b8a
SE4,#077b8a
EE,#077b8a
LV,#077b8a
LT,#077b8a
DE4-E,#8E79B9
DE4-N,#8E79B9
DE4-S,#8E79B9
DE4-W,#8E79B9
NL,#8E79B9
FR,#8E79B9
BE,#8E79B9
LU,#8E79B9
UK,#8E79B9
IE,#8E79B9
AT,#8E79B9
CH,#8E79B9
LI,#8E79B9
PL,#a2d5c6
CZ,#a2d5c6
SK,#a2d5c6
RO,#a2d5c6
BG,#a2d5c6
HU,#a2d5c6
IT,#8B0000
ES,#8B0000
PT,#8B0000
GR,#8B0000
SI,#8B0000
HR,#8B0000
AL,#8B0000
MT,#8B0000
CY,#8B0000
BA,#8B0000
ME,#8B0000
MK,#8B0000
RS,#8B0000
AN,#8B0000
XK,#8B0000
