IRRRE,IRRRI,LatImp,LonImp,LatExp,LonExp
ES,MA,36.53,-5.61,35.334523,-5.660209
MA,ES,35.334523,-5.660209,34.930205,-5.099532
IT,TN,37.795,12.744,36.497,10.342
TN,IT,36.497,10.342,37.795,12.744
DZ,TN,35.44,5.38,36.497,10.342
TN,DZ,36.497,10.342,35.44,5.38
SK,UA,48.820,22.268,48.937,23.810
UA,SK,48.937,23.810,48.820,22.268
UA,UA,49.99,25.50,48.937,23.810
